frame,root pos x,root pos y,root pos z,root rot x,root rot y,root rot z,root rot w,l_hip_pitch,l_hip_roll,l_thigh,l_calf,l_ankle_pitch,l_ankle_roll,r_hip_pitch,r_hip_roll,r_thigh,r_calf,r_ankle_pitch,r_ankle_roll,l_shoulder_pitch,l_shoulder_roll,l_upper_arm,l_elbow,l_wrist,r_shoulder_pitch,r_shoulder_roll,r_upper_arm,r_elbow,r_wrist
0,0.603214662038378,1.8362084585847436,0.37851618495878653,0.022961803354626536,0.016456643853299827,-0.6977673350412483,0.7157671972151445,-0.236514697305496,0.0461597728052446,0.07557122799379618,0.15619274986104728,0.08394554306421263,0.0,-0.1792378717238192,-0.05618965876952319,-0.24291419823351176,0.13794020730790685,0.03344921430987102,0.0,-0.2412179530047385,1.677392213520632,-0.043885071738020594,-0.10686860813838116,-0.22041870401261884,-0.1605234059017354,-1.72411227000893,-0.09330787445616451,-0.01902139979791912,0.03200361934145966
1,0.6031116776520292,1.8319930469173493,0.3773755061372822,0.03650701743584353,0.02930400171631287,-0.7010283997399785,0.7115951769927573,-0.3132384180675085,0.05070611189104126,0.08287866575043991,0.26349596756318133,0.015772200194021237,0.0,-0.26446721329858985,-0.06609116461011896,-0.22799449807686212,0.24994117929372794,-0.031006264363436585,0.0,-0.2710573581429355,1.6843782711922268,0.01892214076049584,-0.07733079789443884,-0.31507614358357444,-0.31005678049401975,-1.7262058674481346,-0.04455356801284331,-0.07973228854987259,0.1545887208878662
2,0.6031577552974773,1.8325058619481425,0.3771112137540162,0.04054751980141634,0.03323108286880699,-0.7007241783019441,0.7115034924105326,-0.3322664801750632,0.05089140142578697,0.08248647386988046,0.27166002619226115,0.015169524151570711,0.0,-0.283989393701191,-0.06809171744311321,-0.22771722209927073,0.25969402492763505,-0.03260184697265493,0.0,-0.28141442240623,1.6866484459687832,0.020950201941124513,-0.07691802875233585,-0.3227392379916133,-0.32522505743956975,-1.7271094428591962,-0.041299061507334645,-0.07875982090019529,0.16172935713236866
3,0.6031685003154112,1.8326912898117773,0.3770274404075287,0.04202928026935407,0.03454770910905265,-0.7005148741801527,0.7115608944058972,-0.3385463549356084,0.05069246815014871,0.08216904139714805,0.27352789318101356,0.015451434322106716,0.0,-0.29050483910977704,-0.06897551724815039,-0.22783782431135266,0.26251609363493034,-0.033005119940795906,0.0,-0.283449699193843,1.6897201358881282,0.02032558773132978,-0.07664654274525748,-0.3252449869054151,-0.32948147190451255,-1.7287147479045697,-0.0390344587829878,-0.07705411768121888,0.16393253234302665
4,0.6031746951723346,1.8327964568263428,0.37699458505750694,0.042678801505235155,0.03504057287736552,-0.700363398592295,0.7116472356910779,-0.3410167310891986,0.0504152441050017,0.08192863933552749,0.27377856922565424,0.015904291792075975,0.0,-0.29313079239347234,-0.06953588264194094,-0.2280129495711952,0.2634779155939199,-0.033101387903604555,0.0,-0.2829052669765503,1.6933724905425471,0.02018267743690749,-0.07657147872581621,-0.3261968537320792,-0.3309750101387149,-1.7312591941885747,-0.03763021903731032,-0.07540855744237417,0.16458740829474583
5,0.6031865872791546,1.8328695640608685,0.3769793232632386,0.04302964603553635,0.03526932148806534,-0.7002476822688295,0.7117286758315702,-0.34222042353181,0.050147997454343715,0.08171451785496964,0.27358046115931356,0.016357332561376378,0.0,-0.2944154955685693,-0.06995245525838077,-0.22817830816458864,0.26378321260002935,-0.03313234727125165,0.0,-0.28196838571838023,1.6971774851140187,0.020452630867099683,-0.07661114162686328,-0.3265686815972258,-0.3316947303390894,-1.7344596691630563,-0.036577617875475796,-0.07379490574905585,0.16483250001186722
6,0.6032112167832655,1.8329214201848476,0.3769764971080043,0.04323996460678363,0.0354043818370576,-0.7001637128585781,0.7117918308070349,-0.3428600442812912,0.049939814073847545,0.08155851318298712,0.2732138147825619,0.016773841435713692,0.0,-0.2950911469462212,-0.07031419907168013,-0.22829586046965214,0.26376039029271364,-0.033154068582192164,0.0,-0.281122978395608,1.7008142047119017,0.02086071583896574,-0.0767360302127862,-0.32650112636930984,-0.3320152348649635,-1.7377778160071373,-0.035739281603976755,-0.07230656550602906,0.1646088281209186
7,0.6032523521044221,1.8329595539163062,0.3769816717523326,0.0433541448173485,0.0354943824870091,-0.7001213053653186,0.7118221159198304,-0.3431798193415079,0.04980931383113424,0.08148561208036295,0.27283225939478184,0.017104859860706943,0.0,-0.2954866814395182,-0.07065784543474712,-0.22831555040058965,0.2637094426917422,-0.03316435358686033,0.0,-0.2798116305376144,1.7042977214925084,0.021117509586922104,-0.07669121209727521,-0.3259352195642083,-0.3320847084919294,-1.7406491329972966,-0.03512201392178955,-0.07138711673039042,0.16434258664950918
8,0.6033033533250864,1.8329876317814724,0.3769874744129073,0.043371546292599754,0.03550953043567138,-0.7001355160097068,0.7118063229855777,-0.34318520290700427,0.049688239787990314,0.08156701373879334,0.27254184274047416,0.01728644966963072,0.0,-0.29569097714438236,-0.07099557727398009,-0.22819297825689044,0.2638328763792651,-0.03325703578609935,0.0,-0.2784884549750664,1.7076764834123799,0.021243940918701822,-0.07630853236727488,-0.3257198843030171,-0.33209289047342283,-1.7426735340686381,-0.034881180176991274,-0.07140986324668289,0.16457059713541888
9,0.6033532183655694,1.8330051876169868,0.37699174725963724,0.04331924257470661,0.035450744376115534,-0.7001936291178612,0.7117552737343729,-0.34293849552392475,0.04957715058432416,0.08176261308824316,0.27237111103869033,0.017313885445640297,0.0,-0.2957706568460951,-0.07131035734263028,-0.22793789335758094,0.2641651054727726,-0.03347686982585641,0.0,-0.2779917401102544,1.7108342509763343,0.021375642121511995,-0.07551656392941955,-0.32554748473885775,-0.3317766094978941,-1.743661315259853,-0.03494898318162927,-0.07217680225016637,0.16548880395552157
